,0,1,2,3,4,5,6,7,8,9,10,11,output
69,49305220.0,120.99,121.22,119.45,51106100.0,118.7,120.69,118.27,85436210.0,116.93,119.3,116.06,115.4
70,17916260.0,244.51,244.8,241.81,19932550.0,242.1,243.24,241.22,22684000.0,241.16,242.2,239.62,237.52
71,42288790.0,95.92,96.35,94.1,44282560.0,94.29,95.94,93.93,53920550.0,93.13,95.7,93.04,96.52
72,30031410.0,98.92,99.3,98.5,38885980.0,97.39,98.99,97.32,25879680.0,97.41,97.67,96.84,97.17
73,33570380.0,123.38,123.91,122.55,44371580.0,123.09,123.61,122.12,42090320.0,125.32,125.74,123.9,126.2
74,32203640.0,143.66,146.74,143.66,50264540.0,143.78,144.5,142.2,31642900.0,143.32,144.48,142.21,147.5
75,31801970.0,225.75,226.84,222.52,41411350.0,223.52,228.35,222.57,49118510.0,224.94,225.0,219.84,218.01
76,22676520.0,178.5,180.24,178.07,29334630.0,180.32,180.52,177.81,31464170.0,182.59,183.5,179.24,180.29
77,20543190.0,200.85,201.0,198.44,21654750.0,198.68,200.74,198.18,35738280.0,200.32,202.85,199.23,196.42
78,27460070.0,108.52,108.93,107.85,23839880.0,108.71,108.9,107.76,26296260.0,108.23,108.94,108.01,107.52
79,40529120.0,268.7,270.07,264.7,42223820.0,262.74,267.37,261.23,50721830.0,270.8,271.7,259.0,250.9
80,23129400.0,188.77,188.84,186.21,19966590.0,186.35,188.5,185.76,15228270.0,188.38,188.88,186.78,188.0
81,33031360.0,189.91,192.47,188.84,26544720.0,186.27,191.75,186.02,36529680.0,186.41,189.7,185.41,187.71
82,63849470.0,109.07,109.62,107.31,66300930.0,110.17,111.54,108.73,73230280.0,112.83,113.51,107.86,113.85
83,21070330.0,198.43,199.26,195.29,18220420.0,198.54,200.16,198.17,47800590.0,198.8,200.85,198.15,200.37
84,32690080.0,99.83,101.0,99.13,26219110.0,100.0,100.46,99.74,23766360.0,99.56,100.0,99.34,98.7
85,35421310.0,145.13,147.16,145.11,19082170.0,145.77,146.7,145.12,21247590.0,145.52,146.07,144.61,146.87
86,39735110.0,169.95,171.67,168.5,41484540.0,170.43,172.14,168.44,41459120.0,172.63,172.92,167.16,174.3
87,68176940.0,114.08,114.35,111.63,48079330.0,116.1,116.52,114.68,34525630.0,116.43,117.44,116.01,116.04
88,33113340.0,170.8,171.47,169.68,16339690.0,174.68,175.42,174.5,20848660.0,174.17,176.02,174.1,174.87
89,31639010.0,105.66,106.57,105.64,24817940.0,105.8,106.5,105.5,24900130.0,106.62,107.44,106.29,107.41
90,21905160.0,162.09,162.24,160.36,21610300.0,162.71,162.99,160.52,29491910.0,163.75,164.25,160.56,164.8
91,43700570.0,141.0,141.0,139.89,19173780.0,140.72,141.02,140.26,25676720.0,139.41,140.75,139.03,139.3
92,30684390.0,186.51,191.92,185.77,22526310.0,183.08,185.47,182.15,29773430.0,184.28,184.99,181.14,175.44
93,27185130.0,186.12,186.15,184.7,25649240.0,187.25,188.35,184.94,20490090.0,186.35,187.2,185.73,185.14
94,33520150.0,151.27,153.34,151.13,50674280.0,153.6,154.57,149.71,19994270.0,155.94,156.06,154.72,156.01
95,33753490.0,165.38,167.53,164.39,43250420.0,165.45,168.35,162.73,40620360.0,169.0,169.08,165.28,170.49
96,29616190.0,154.2,157.66,153.26,30483120.0,153.08,155.88,153.0,28449940.0,150.27,153.39,150.05,150.85
97,23527660.0,183.9,184.1,182.56,30929740.0,182.25,183.3,180.92,32416800.0,180.0,182.67,179.37,175.49
98,61192340.0,92.39,94.39,91.65,44223040.0,90.0,91.67,90.0,76183460.0,92.72,92.78,89.47,93.48
99,23693550.0,267.27,268.25,263.45,11654360.0,266.6,268.0,265.9,16386120.0,265.58,267.98,265.31,266.94
100,33829290.0,120.96,121.81,120.05,33009110.0,121.11,121.81,120.62,39483400.0,121.85,122.69,120.18,123.13
101,25058280.0,101.91,102.91,101.78,27368840.0,102.24,102.28,101.5,33490630.0,101.41,102.24,100.15,101.31
102,23975350.0,194.99,195.19,190.1,19005150.0,194.61,195.96,193.61,16553500.0,193.06,194.85,192.43,192.45
103,34117030.0,107.12,108.87,106.55,57097740.0,111.09,111.09,105.83,59118740.0,109.88,111.32,108.05,110.31
104,64094970.0,277.39,281.22,271.86,71322520.0,277.14,286.44,269.37,71686210.0,263.75,278.09,263.0,282.0
105,28321440.0,131.65,132.45,131.12,22941650.0,131.35,132.22,131.22,38158410.0,130.54,132.09,130.45,129.13
106,41156140.0,171.51,174.77,170.88,44662320.0,174.24,174.95,170.26,23623970.0,174.94,176.6,172.1,179.73
107,18631540.0,154.26,154.45,152.72,26204670.0,153.21,154.13,152.0,21983410.0,153.89,154.28,152.7,153.8
108,29024690.0,279.8,281.9,279.12,28575800.0,279.57,281.77,278.8,32081110.0,277.0,280.79,276.98,271.46
109,95584080.0,220.78,221.36,217.29,26388050.0,220.24,222.28,219.15,26869880.0,218.5,219.62,215.3,217.79
110,39483400.0,121.85,122.69,120.18,44829060.0,123.13,123.82,121.62,45479260.0,120.79,123.49,120.7,119.87
111,31672220.0,98.53,99.35,98.48,26575570.0,98.5,99.99,98.46,20839950.0,99.02,99.56,98.68,99.25
112,76562170.0,110.15,111.88,107.36,56111590.0,112.03,114.53,112.0,53075960.0,112.17,113.31,111.54,112.23
